IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,15880,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,graph.facebook.com,64,116,1,1,2026-06-19T15:50:02.431+03:00,2026-06-19T15:50:04.448+03:00
17,10.215.173.1,9035,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,graph.accountkit.com,66,118,1,1,2026-06-19T15:50:02.436+03:00,2026-06-19T15:50:04.449+03:00
6,10.215.173.1,58238,119.29.29.88,80,10340,Ditto,com.ditto.mobile,TCP,Closed,,160,88,3,2,2026-06-19T15:50:02.588+03:00,2026-06-19T15:50:05.721+03:00
17,10.215.173.1,50054,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,tools.hulekeji.com,64,80,1,1,2026-06-19T15:50:02.594+03:00,2026-06-19T15:50:04.980+03:00
17,10.215.173.1,49199,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,abt-online.netease.im,67,168,1,1,2026-06-19T15:50:02.679+03:00,2026-06-19T15:50:05.196+03:00
17,10.215.173.1,49544,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,wannos.127.net,120,542,2,2,2026-06-19T15:50:03.370+03:00,2026-06-19T15:50:08.139+03:00
17,10.215.173.1,29423,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,www.sayyouditto.com,130,362,2,2,2026-06-19T15:50:03.497+03:00,2026-06-19T15:50:08.154+03:00
17,10.215.173.1,54416,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,android.bugly.qq.com,132,324,2,2,2026-06-19T15:50:03.518+03:00,2026-06-19T15:50:08.169+03:00
17,10.215.173.1,14800,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,www.turingfraud.net,130,162,2,2,2026-06-19T15:50:03.530+03:00,2026-06-19T15:50:08.170+03:00
17,10.215.173.1,59482,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,lbs.netease.im,60,165,1,1,2026-06-19T15:50:03.575+03:00,2026-06-19T15:50:06.564+03:00
17,10.215.173.1,10138,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,change-api.netease.im,67,171,1,1,2026-06-19T15:50:03.842+03:00,2026-06-19T15:50:06.723+03:00
17,10.215.173.1,10359,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,res.sayyouditto.com,65,180,1,1,2026-06-19T15:50:03.985+03:00,2026-06-19T15:50:06.756+03:00
17,10.215.173.1,50316,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,im.sayyouditto.com,64,179,1,1,2026-06-19T15:50:03.990+03:00,2026-06-19T15:50:06.765+03:00
17,10.215.173.1,27000,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,hule.games.sayyouditto.com,72,213,1,1,2026-06-19T15:50:03.999+03:00,2026-06-19T15:50:06.793+03:00
17,10.215.173.1,8539,10.215.173.2,53,10340,Ditto,com.ditto.mobile,DNS,Closed,app.adjust.com,60,124,1,1,2026-06-19T15:50:04.244+03:00,2026-06-19T15:50:07.074+03:00
6,10.215.173.1,55338,102.132.97.18,443,10340,Ditto,com.ditto.mobile,HTTPS,Error,graph.facebook.com,2441,7537,14,11,2026-06-19T15:50:04.455+03:00,2026-06-19T15:50:11.831+03:00
6,10.215.173.1,55340,102.132.97.18,443,10340,Ditto,com.ditto.mobile,HTTPS,Closed,graph.facebook.com,2152,6889,17,15,2026-06-19T15:50:04.459+03:00,2026-06-19T15:50:36.628+03:00
